"source_1"	"source_2"	"source_3"	"source_4"	"source_5"	"rank_product"	"rank_final"
"67926"	NA	NA	31	73	193	25.2906135975414	114
"20822"	29	90	NA	NA	NA	25.5440795488896	115
"108155"	23	148	NA	NA	140	26.036620177684	116
"320024"	10	272.5	NA	NA	NA	26.1007662722764	117
"29857"	NA	NA	47	59	NA	26.3296410913632	118
"21413"	19	146	NA	NA	NA	26.3343881645274	119
"76499"	274	114	NA	NA	16	26.4527327444868	120
"77044"	21	133.5	NA	NA	NA	26.4740438920842	121
"11941"	64	144	NA	NA	55	26.5774798243359	122
"320376"	NA	237.5	NA	NA	12	26.6926956300783	123
"102857"	NA	21	NA	137	NA	26.8188366638078	124
"78243"	NA	NA	30	89	197	26.9073694061918	125
"77056"	NA	278	126.5	79	51	27.2755273378575	126
"78908"	116	139	33.5	NA	265	27.3451856552678	127
"72508"	90	38.5	NA	NA	167	27.7769984966567	128
"22661"	32	98	NA	NA	NA	28	129
"22260"	213	237.5	NA	36	87	28.048281106176	130
"101351"	NA	NA	23	138	NA	28.1691320420065	131
"12359"	NA	NA	19	156	205	28.232939580652	132
"11843"	267	124	93	NA	54	28.388498473472	133
"72899"	NA	NA	NA	14	231	28.4341344162259	134
"11545"	234	72	NA	149	67	28.4703210727396	135
"98415"	41	231	NA	NA	69	28.9263556171226	136
"330474"	276	55	NA	NA	44	29.1375855262436	137
"382639"	135	310	16	NA	NA	29.1619947165342	138
"19645"	87	57.5	NA	NA	134	29.1726608995208	139
"12994"	NA	NA	55.5	62	NA	29.3300187521249	140
"12824"	243	114	NA	118	58	29.335621268755	141
"16169"	NA	NA	43	84	191	29.4536495354903	142
"20363"	NA	NA	71.5	48	202	29.5015586438538	143
"208884"	11	321	NA	NA	NA	29.7111090334912	144
"22025"	101	NA	NA	35	NA	29.7279329923895	145
"241638"	56	64	NA	NA	NA	29.9332590941915	146
"69179"	40	129.5	NA	178	228	30.1030958162769	147
"12834"	NA	NA	26	140	NA	30.1662062579967	148
"20230"	128	62	NA	NA	94	30.2311904693151	149
"98238"	216	44	NA	NA	79	30.2963227174035	150
"14634"	127	29	NA	NA	NA	30.3438626413975	151
"69358"	235	81.5	99	116	NA	30.4452589579767	152
"227696"	NA	NA	141	26.5	NA	30.5634585739245	153
"619548"	NA	NA	97.5	38.5	NA	30.6339272702669	154
"67511"	145	157.5	NA	NA	34	30.6375879576865	155
"106143"	170	27	NA	NA	170	30.6878136016279	156
"218921"	NA	NA	21.5	NA	176	30.7571129984594	157
"65246"	31	167	NA	171	261	30.822559835819	158
"381379"	NA	NA	39.5	98	NA	31.1086804606046	159
"12562"	NA	NA	17	NA	235	31.603006186121	160
"16974"	NA	NA	197.5	16	273	31.7318448250006	161
"69117"	NA	NA	86	47	NA	31.7883626505047	162
"14615"	95	87	NA	106	NA	31.8954195844735	163
"28194"	NA	NA	49	131	138	32.0130878177236	164
"76867"	NA	NA	118	NA	35	32.1325380261193	165
"545276"	263	79.5	NA	NA	43	32.1718367425473	166
